Kingdom,Phylum,Class,Order,Family,Genus,Species,SAE3_00,SAE3_05,SAE3_23,SAE3_37,HSE6_05,HSE6_23,SAE3 Sum Raw Reads,HSE6 Sum Raw Reads,Total Raw Reads,Rank
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,[Bacillus] selenitireducens,3,313,396,482,406,744,1194,1150,2344,1668
Bacteria,Actinobacteria,Coriobacteriia,Actinomycetales,Cellulomonadaceae,Cellulomonas,[Cellvibrio] gilvus,7,76,97,348,67,400,528,467,995,2832
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,[Clostridium] aerotolerans,3,846,535,544,1422,1151,1928,2573,4501,1005
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium,[Clostridium] alkalicellulosi,22,10958,5766,4311,13202,12419,21057,25621,46678,88
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,[Clostridium] aminophilum,3,336,395,393,752,670,1127,1422,2549,1584
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Peptoclostridium,[Clostridium] bifermentans,6,1291,1146,942,2161,2065,3385,4226,7611,611
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,[Clostridium] bolteae,2,1275,1181,882,2305,2127,3340,4432,7772,603
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,[Clostridium] celerecrescens,3,893,680,592,1655,1292,2168,2947,5115,893
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium,[Clostridium] cellobioparum,11,5801,2960,2434,8549,6741,11206,15290,26496,176
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium,[Clostridium] cellulosi,5,2846,2416,1959,6032,4163,7226,10195,17421,273
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,[Clostridium] citroniae,6,1469,1030,1078,2676,2398,3583,5074,8657,551
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium,[Clostridium] clariflavum,27,13070,7340,5803,16380,15195,26240,31575,57815,66
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,[Clostridium] clostridioforme,17,2648,2229,2000,5316,4788,6894,10104,16998,279
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,[Clostridium] hathewayi,16,3798,3247,3127,7057,6795,10188,13852,24040,197
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,[Clostridium] indolis,6,1238,909,923,2689,2257,3076,4946,8022,592
Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelatoclostridium,[Clostridium] innocuum,1,47,48,32,96,85,128,181,309,4642
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium,[Clostridium] josui,14,5230,3278,2021,7190,6353,10543,13543,24086,195
