"[Bacillus] selenitireducens"
"[Cellvibrio] gilvus"
"[Clostridium] aerotolerans"
"[Clostridium] alkalicellulosi"
"[Clostridium] aminophilum"
"[Clostridium] bifermentans"
"[Clostridium] bolteae"
"[Clostridium] celerecrescens"
"[Clostridium] cellobioparum"
"[Clostridium] cellulosi"
"[Clostridium] citroniae"
"[Clostridium] clariflavum"
"[Clostridium] clostridioforme"
"[Clostridium] hathewayi"
"[Clostridium] indolis"
"[Clostridium] innocuum"
"[Clostridium] josui"
"[Clostridium] mangenotii"
"[Clostridium] methoxybenzovorans"
"[Clostridium] papyrosolvens"
"[Clostridium] paradoxum"
"[Clostridium] populeti"
"[Clostridium] saccharogumia"
"[Clostridium] saccharolyticum"
"[Clostridium] scindens"
"[Clostridium] sordellii"
"[Clostridium] sporosphaeroides"
"[Clostridium] stercorarium"
"[Clostridium] sticklandii"
"[Clostridium] sufflavum"
"[Clostridium] symbiosum"
"[Clostridium] termitidis"
"[Clostridium] viride"
"[Eubacterium] cellulosolvens"
"[Eubacterium] infirmum"
"[Eubacterium] nodatum"
"[Eubacterium] siraeum"
"[Eubacterium] sulci"
"[Eubacterium] yurii"
"[Oscillatoria] sp. PCC 6506"
"[Pseudomonas] geniculata"
"[Ruminococcus] gnavus"
"[Ruminococcus] obeum"
"[Ruminococcus] torques"
"[Scytonema hofmanni] UTEX 2349"
"Abiotrophia defectiva"
"Acaricomes phytoseiuli"
"Acaryochloris sp. CCMEE 5410"
"Acetivibrio cellulolyticus"
"Acetobacter aceti"
"Acetobacter malorum"
"Acetobacter nitrogenifigens"
"Acetobacter okinawensis"
"Acetobacter pasteurianus"
"Acetobacter persici"
"Acetobacter pomorum"
"Acetobacter tropicalis"
"Acetobacteraceae bacterium AT-5844"
"Acetobacterium dehalogenans"
"Acetobacterium woodii"
"Acetohalobium arabaticum"
"Acetonema longum"
"Acholeplasma axanthum"
"Acholeplasma equifetale"
"Acholeplasma granularum"
"Acholeplasma hippikon"
"Acholeplasma modicum"
"Acholeplasma multilocale"
"Achromobacter arsenitoxydans"
"Achromobacter insuavis"
"Achromobacter piechaudii"
"Achromobacter xylosoxidans"
"Acidaminobacter hydrogenoformans"
"Acidaminococcus fermentans"
"Acidaminococcus intestini"
"Acidaminococcus sp. BV3L6"
"Acidaminococcus sp. HPA0509"
"Acidianus hospitalis"
"Acidilobus saccharovorans"
"Acidilobus sulfurireducens"
"Acidiphilium angustum"
"Acidiphilium multivorum"
"Acidiphilium sp. PM"
"Acidithiobacillus caldus"
"Acidithiobacillus ferrivorans"
"Acidithiobacillus thiooxidans"
"Acidobacteria bacterium KBS 146"
"Acidobacteriaceae bacterium KBS 83"
"Acidobacteriaceae bacterium KBS 89"
"Acidobacteriaceae bacterium KBS 96"
"Acidobacteriaceae bacterium TAA166"
"Acidobacteriaceae bacterium URHE0068"
"Acidobacterium sp. PMMR2"
"Acidocella facilis"
"Acidocella sp. MX-AZ02"
"Acidovorax avenae"
"Acidovorax oryzae"
"Acidovorax radicis"
"Acidovorax sp. CF316"
"Acidovorax sp. JHL-3"
"Acidovorax sp. JHL-9"
"Acidovorax sp. KKS102"
"Acidovorax sp. MR-S7"
"Acidovorax sp. NO-1"
"Acidovorax temperans"
"Aciduliprofundum boonei"
"Aciduliprofundum sp. MAR08-339"
"Acinetobacter baumannii"
"Acinetobacter baylyi"
"Acinetobacter beijerinckii"
"Acinetobacter bereziniae"
"Acinetobacter bohemicus"
"Acinetobacter bouvetii"
"Acinetobacter brisouii"
"Acinetobacter calcoaceticus"
"Acinetobacter gerneri"
"Acinetobacter guillouiae"
"Acinetobacter gyllenbergii"
"Acinetobacter haemolyticus"
"Acinetobacter indicus"
"Acinetobacter johnsonii"
"Acinetobacter junii"
"Acinetobacter lwoffii"
"Acinetobacter nosocomialis"
"Acinetobacter oleivorans"
"Acinetobacter parvus"
"Acinetobacter pittii"
"Acinetobacter radioresistens"
"Acinetobacter rudis"
"Acinetobacter schindleri"
"Acinetobacter soli"
"Acinetobacter sp."
"Acinetobacter sp. ANC 3789"
"Acinetobacter sp. ANC 3862"
"Acinetobacter sp. ANC 3880"
"Acinetobacter sp. ANC 3929"
"Acinetobacter sp. ANC 4105"
"Acinetobacter sp. CIP-A165"
"Acinetobacter sp. CIP 101934"
"Acinetobacter sp. CIP 101966"
"Acinetobacter sp. CIP 102082"
"Acinetobacter sp. CIP 102129"
"Acinetobacter sp. CIP 102136"
"Acinetobacter sp. CIP 102143"
"Acinetobacter sp. CIP 102159"
"Acinetobacter sp. CIP 102529"
"Acinetobacter sp. CIP 102637"
"Acinetobacter sp. CIP 110321"
"Acinetobacter sp. CIP 51.11"
"Acinetobacter sp. CIP 53.82"
"Acinetobacter sp. CIP 56.2"
"Acinetobacter sp. CIP 64.2"
"Acinetobacter sp. CIP 64.7"
"Acinetobacter sp. CIP 70.18"
"Acinetobacter sp. CIP A162"
"Acinetobacter sp. GG2"
"Acinetobacter sp. HA"
"Acinetobacter sp. MDS7A"
"Acinetobacter sp. NBRC 100985"
"Acinetobacter sp. NCTC 10304"
"Acinetobacter sp. NCTC 7422"
"Acinetobacter sp. NIPH 1847"
"Acinetobacter sp. NIPH 1859"
"Acinetobacter sp. NIPH 1867"
"Acinetobacter sp. NIPH 2036"
"Acinetobacter sp. NIPH 2100"
"Acinetobacter sp. NIPH 2168"
"Acinetobacter sp. NIPH 2171"
"Acinetobacter sp. NIPH 236"
"Acinetobacter sp. NIPH 284"
"Acinetobacter sp. NIPH 298"
"Acinetobacter sp. NIPH 3623"
"Acinetobacter sp. NIPH 542"
"Acinetobacter sp. NIPH 713"
"Acinetobacter sp. NIPH 758"
"Acinetobacter sp. NIPH 809"
"Acinetobacter sp. NIPH 817"
"Acinetobacter sp. NIPH 899"
"Acinetobacter sp. NIPH 973"
"Acinetobacter sp. OIFC021"
"Acinetobacter sp. P8-3-8"
"Acinetobacter sp. TG19627"
"Acinetobacter sp. TG2027"
"Acinetobacter sp. TG27347"
"Acinetobacter sp. UNC436CL71CviS28"
"Acinetobacter sp. Ver3"
"Acinetobacter sp. WC-136"
"Acinetobacter sp. WC-141"
"Acinetobacter sp. WC-323"
"Acinetobacter sp. WC-487"
"Acinetobacter sp. WC-743"
"Acinetobacter tandoii"
"Acinetobacter tjernbergiae"
